instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,213, 1372.344000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,214, 1375.779000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,215, 1380.890000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,216, 1385.630000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,217, 1390.239000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,218, 1394.514000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,219, 1400.308000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,220, 1402.256000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,221, 1410.440000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,222, 1417.093000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,223, 1424.470000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,224, 1428.467000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,225, 1434.879000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,226, 1438.914000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,227, 1447.102000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,228, 1456.633000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,229, 1461.982000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,230, 1469.949000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,231, 1475.089000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,232, 1484.233000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,233, 1490.802000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,234, 1496.002000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,235, 1503.081000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,236, 1509.407000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,237, 1516.944000,611935,,,,,,
K400.3.con.red,210,1612, Guloso, gulosoRandomizado, 0.250000,238, 1524.355000,611935,,,,,,
